Hotel Name,Hotel Review Page,Guest Name,Hotel Review
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-or0-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,Anju,"Awesome Hotel with amazing hospitality. Staff is well trained and courteous.  Enjoyed the stay  Front desk staff are very helpful especially buddhadev,himaanshu  he is so helpful, good person, keep it up  Over all good@@"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-or0-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,Pankaj,"Great property, well maintained and staff are all customer centric. Good option to stay when traveling with Family or friends. Food in their restaurant was awesome.  Great room cleaning by Himanshu,front desk staff are very nice especially buddhadev;!!!  Over all well!!!"
ibis Styles Goa Calangute Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d9566044-Reviews-or0-Ibis_Styles_Goa_Calangute_Resort-Calangute_North_Goa_District_Goa.html,Jitendra J,"We have been here since last 4 days, the hotel is wonderful will almost all amenities. Lovely food, good size swimming pool. I have never seen hotel so friendly to children's. They offer free lunch and dinner to children below 12 years. Rates are reasonable and food quality is\u2026"
Fairfield by Marriott Goa Anjuna,https://www.tripadvisor.in/Hotel_Review-g306992-d10540733-Reviews-or0-Fairfield_by_Marriott_Goa_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,Prashanth,We were there at April 2019. It was for my Daughter's summer vacation in Goa. A nice welcome and gave us the best room. I do not have any negative feedback everything was positive. The best thing to lookout is the customer service which is at very high standards and the that\u2026
Fairfield by Marriott Goa Anjuna,https://www.tripadvisor.in/Hotel_Review-g306992-d10540733-Reviews-or0-Fairfield_by_Marriott_Goa_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,shadabansari236@gmail.com,Beautiful hotel with good food. Especially Mr Akhilesh from their team is really helpful along with other staff. Good cozy Rooms and a big swimming pool with quite and green surrounding makes it ideal for a liesure Traveller near Anjuna. Look forward to come again.
Fairfield by Marriott Goa Anjuna,https://www.tripadvisor.in/Hotel_Review-g306992-d10540733-Reviews-or0-Fairfield_by_Marriott_Goa_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,Khushboo Oza,"Chose this property over others as it was Marriott. Would have got a better service and rooms for the price we paid. We dint get rooms on time.AC was not efficiently working. Even after tellin them multiple times they were unable to rectify the AC, neither the room was changed.\u2026"
Fairfield by Marriott Goa Anjuna,https://www.tripadvisor.in/Hotel_Review-g306992-d10540733-Reviews-or0-Fairfield_by_Marriott_Goa_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,Shaziya Shaikh,Not a great property we thought it was Marriott properties hence booked it. But it came out to be nothing like Marriott at all not even close to the 1 star standard.  To start with when we reached they couldn\u2019t find your rooms reservation we had booked with make my trip.  We\u2026
Fairfield by Marriott Goa Anjuna,https://www.tripadvisor.in/Hotel_Review-g306992-d10540733-Reviews-or0-Fairfield_by_Marriott_Goa_Anjuna-Anjuna_Bardez_North_Goa_District_Goa.html,nevillem79,"This review has been a little delayed but nonetheless worth the mention....   Excellent Value for money, very friendly effective staff. Front office and f&b staff are very energetic (seen the same staff working tirelessly from morning to night)  and prompt.  Property has started\u2026"
L'Amore Beach Cottages,https://www.tripadvisor.in/Hotel_Review-g2334907-d5999353-Reviews-or0-L_Amore_Beach_Cottages-Ashvem_Beach_North_Goa_District_Goa.html,DianaMariaParis,"It's an open secret that I am a big fan of ashvem beach as it is a still intact, crowd free beach in north goa. L'Amore became much more than a place to crush when I feel to spend some days on the  beach - it is like a family. Aarti and the other members of the owner family just\u2026"
L'Amore Beach Cottages,https://www.tripadvisor.in/Hotel_Review-g2334907-d5999353-Reviews-or0-L_Amore_Beach_Cottages-Ashvem_Beach_North_Goa_District_Goa.html,Ankur M,"The two of us arrived at Ashvem after a long bus journey followed by a long bike ride. It was around 11 in the morning. Since it's peak summers, the requirement was an AC room. After having been refused early check-in by couple of resorts, we arrived at L'amore where we were\u2026"
L'Amore Beach Cottages,https://www.tripadvisor.in/Hotel_Review-g2334907-d5999353-Reviews-or0-L_Amore_Beach_Cottages-Ashvem_Beach_North_Goa_District_Goa.html,agarwalShilpi,"We booked Lotus for stay .. the view and feel is amazing. Happy  and helping team of Joseph, Nandan , Arnav , Amit ... makes the entire experience more pleasant . Clean , good food, and amazing view .. All in all great experience."
L'Amore Beach Cottages,https://www.tripadvisor.in/Hotel_Review-g2334907-d5999353-Reviews-or0-L_Amore_Beach_Cottages-Ashvem_Beach_North_Goa_District_Goa.html,Sandeep MV,Had an amazing stay at L\u2019Amore beach cottages been going to this place since 2017 every time I have been there always had a great stay the team are very good with hospitality and the food is really yum.  Would recommend this cottage any day if you planning a visit to ashwem\u2026
L'Amore Beach Cottages,https://www.tripadvisor.in/Hotel_Review-g2334907-d5999353-Reviews-or0-L_Amore_Beach_Cottages-Ashvem_Beach_North_Goa_District_Goa.html,Ashu,Hello guys in the offseason when it was starting the monsoon I reached lamore resort ashvem beach. It was not only the comfortable stay but best place to relax and enjoy. I stayed in lamore resort 10 days and I found my all the days was so much excited. I meet some stars who\u2026
Radisson Goa Candolim,https://www.tripadvisor.in/Hotel_Review-g297605-d7717427-Reviews-or0-Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,PreetiW,"We just came back on 15th Jun and had an awesome stay. We arrived at 930 AM much earlier than the check in time but the staff was really helpful and we were immediately given our room, In fact we were upgraded to a pool side facing room with no extra cost. Good food and service.\u2026"
Radisson Goa Candolim,https://www.tripadvisor.in/Hotel_Review-g297605-d7717427-Reviews-or0-Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,SandraandChris,"We stayed at this hotel for three weeks. We arrived in the early hours of the morning and were met with a hot chocolate and chicken sandwiches. We had stayed here before and our travel agent had requested a first floor room for us, we found we had been given an upgraded room and\u2026"
Radisson Goa Candolim,https://www.tripadvisor.in/Hotel_Review-g297605-d7717427-Reviews-or0-Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,tomatodelhi,Internet was a major issue Room service slow Bathroom was so bad that every time we took a shower the entire bathroom was filled with water.. Despite repeatedcomplants nothing was done to improve it. They just came and cleaned it
Radisson Goa Candolim,https://www.tripadvisor.in/Hotel_Review-g297605-d7717427-Reviews-or0-Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,Divya,"Nice location,wonderful stay.Good staff to talk to.Great hospitality.breakfast was awesome.overall food preparation is good.Housekeeping good by Aakif mujawar.overall a good experience.will recommend for family stay."
Radisson Goa Candolim,https://www.tripadvisor.in/Hotel_Review-g297605-d7717427-Reviews-or0-Radisson_Goa_Candolim-Candolim_Bardez_North_Goa_District_Goa.html,Anuj,"Hotel has a nice location and offers rooms at a very competitive price However, the rooms lack finesse you would expect from top brand. Its a very old property which was taken over by Radisson a few years ago. So the age really shows. Also, during our stay we faced multiple\u2026"
Varanda do Mar,https://www.tripadvisor.in/Hotel_Review-g303877-d6416881-Reviews-or0-Varanda_do_Mar-Panjim_North_Goa_District_Goa.html,kumar gourav,"I Booked to stay 4 night  in this hotel  it was very near Miramar beach and the  the staff were very helpful and gave us excellent service. Special thanks to Mr.Subrato, The rooms were very spacious and the showers plus balconies, although we did not have sea facing rooms.\u2026"
Varanda do Mar,https://www.tripadvisor.in/Hotel_Review-g303877-d6416881-Reviews-or0-Varanda_do_Mar-Panjim_North_Goa_District_Goa.html,Anand N,"A beautiful hotel in Miramar.It was a pleasant stay. The rooms are really big, clean and spacious. Staff very friendly and helpful. Breakfast with lot of variety. Its a best place for a family. Though the poll is small you can enjoy."
Varanda do Mar,https://www.tripadvisor.in/Hotel_Review-g303877-d6416881-Reviews-or0-Varanda_do_Mar-Panjim_North_Goa_District_Goa.html,Anna,"The hotel staff is extremely helpful. Food is good and room service is prompt. However, public transport near the hotel is difficult to avail because of its location. Overall, it was a comfortable and pleasant stay for family."
Varanda do Mar,https://www.tripadvisor.in/Hotel_Review-g303877-d6416881-Reviews-or0-Varanda_do_Mar-Panjim_North_Goa_District_Goa.html,Raul F,"A nice cosy hotel in Miramar. However they need to upgrade their lobby and restaurant. It does not give the right impression of their rooms. The rooms are really big, clean and spacious. The bathrooms are well equipped but they need to improve the hot water supply and need to\u2026"
Varanda do Mar,https://www.tripadvisor.in/Hotel_Review-g303877-d6416881-Reviews-or0-Varanda_do_Mar-Panjim_North_Goa_District_Goa.html,SanjuS,"Very Closed to Mira Mar Beach, this hotel is great value for money. It offers good spacious rooms, nicely decorated (Tough not exceptional). Food is also very good. Hospitality and staff smiles are their high points. Tough within the confines of the city, it still offers a very\u2026"
Regenta Resort Varca Beach,https://www.tripadvisor.in/Hotel_Review-g1096236-d9460735-Reviews-or0-Regenta_Resort_Varca_Beach-Varca_South_Goa_District_Goa.html,Rahul Ranjan,"It is the best place to stay. This is situated near the beach and it is available at lower cost. So this is the nice place. That's why anyone wants to visit the beach, this is the best place to stay ."
Regenta Resort Varca Beach,https://www.tripadvisor.in/Hotel_Review-g1096236-d9460735-Reviews-or0-Regenta_Resort_Varca_Beach-Varca_South_Goa_District_Goa.html,Armaan,"Lovely place to visit for nature lovers.The resort looks same as the pics mentioned.Co-operative staff at Reception(Rima),watchman,restaurant,room keeping.Very close to beach.You can rent a scooty from nearby residents and explore south Goa."
Regenta Resort Varca Beach,https://www.tripadvisor.in/Hotel_Review-g1096236-d9460735-Reviews-or0-Regenta_Resort_Varca_Beach-Varca_South_Goa_District_Goa.html,Jason L,"And here\u2019s why, I have always believed that good customer service can fix any problem. But I stand correct after my stay at the Regenta Resort.   We arrive at the hotel at 4PM, only be be informed one of the two rooms is not ready yet, since the AC is not working. 15 Min later\u2026"
Regenta Resort Varca Beach,https://www.tripadvisor.in/Hotel_Review-g1096236-d9460735-Reviews-or0-Regenta_Resort_Varca_Beach-Varca_South_Goa_District_Goa.html,rajan,"nice hotel ,near to the beach in walking distance just few minutes  .good food qualityat average price  with helpful staff.Mr patel very helpful with his team . Some maintenance work  and cleaning need to improve."
Regenta Resort Varca Beach,https://www.tripadvisor.in/Hotel_Review-g1096236-d9460735-Reviews-or0-Regenta_Resort_Varca_Beach-Varca_South_Goa_District_Goa.html,Sridhar Rao,"One of the best property and near to beach, got a nice welcome from the team especially Rima, she explained everything about the property and taken care of our stay most memorable, thanks for the property and Rima."
Nagoa Grande Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g306993-d2571252-Reviews-or0-Nagoa_Grande_Resort_Spa-Bardez_North_Goa_District_Goa.html,Deepak Parmar,"Goa is a amazing place and no 1 stay @ Goa,Na Goa grand resort and spa Bardez is best place to stay with family I stayed at 7th to 10th June 2019. Good experience well maintain rooms, tasty food, staff of the hotel is very cool and calm with helpful every time. Restaurant people\u2026"
Nagoa Grande Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g306993-d2571252-Reviews-or0-Nagoa_Grande_Resort_Spa-Bardez_North_Goa_District_Goa.html,Saloni K,"The space was quite comfortable, the staff was extremely hospitable! They were very accommodating especially with food preferences. Great outdoor sitting area by the pool you can grab a drink or even sit there while at breakfast."
Nagoa Grande Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g306993-d2571252-Reviews-or0-Nagoa_Grande_Resort_Spa-Bardez_North_Goa_District_Goa.html,nivrity_das,"This Hotel is definitely worth the stay. The rooms are pretty big and really spacious. Also has a stunning vintage feel to it. The best is the pool area which is definitely worth spending some great quality time with friends and family. Also speaking about the services and food,\u2026"
Nagoa Grande Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g306993-d2571252-Reviews-or0-Nagoa_Grande_Resort_Spa-Bardez_North_Goa_District_Goa.html,ABHIROOP,"Ac was not working properly, didn't get solved after complaining too , except dat evrythng was brilliant ,, all services are good and quick . Staffs were well behaved  nd  quick to respond , food tastes are good, nd atlast the magician was superb \U0001f60a"
Nagoa Grande Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g306993-d2571252-Reviews-or0-Nagoa_Grande_Resort_Spa-Bardez_North_Goa_District_Goa.html,Pratapsinh,This was our second time in goa and the first time in goa ...we had a pleasant stay in nagoa grande resort and spa ..the staff here were very helpful ...services provided were very good ..we visited many places.wonderful place
Resort Terra Paraiso,https://www.tripadvisor.in/Hotel_Review-g306995-d1056079-Reviews-or0-Resort_Terra_Paraiso-Calangute_North_Goa_District_Goa.html,Half Ticket H,"It was amezing experience in this Resort, Love to come back again....Also love to recon others...  Truly splendid service, frendly staff, big and clean room with beautiful gallery, pool facing Restaurant,in short can't complaint in any manner."
Resort Terra Paraiso,https://www.tripadvisor.in/Hotel_Review-g306995-d1056079-Reviews-or0-Resort_Terra_Paraiso-Calangute_North_Goa_District_Goa.html,Aimee C,Charming hotel very near the beach and short walk to the main road. The large pool area is kept clean and nice to relax by. Great for couples and families with young children. Food definitely needs improving but the staff were all very polite and hospitable although one chap who\u2026
Resort Terra Paraiso,https://www.tripadvisor.in/Hotel_Review-g306995-d1056079-Reviews-or0-Resort_Terra_Paraiso-Calangute_North_Goa_District_Goa.html,Raviraj Naik,Nice place to visit with kids and couples. We were 18 people with kids. We enjoyed a lot. The place was very nice with a delicious breakfast. Rooms are nicely decorated and clean. Swimming pool is adding more stars to this resort. And specially I can\u2019t  forget to say thanks the\u2026
Resort Terra Paraiso,https://www.tripadvisor.in/Hotel_Review-g306995-d1056079-Reviews-or0-Resort_Terra_Paraiso-Calangute_North_Goa_District_Goa.html,Febin T,"The stay was good,service was excellent , staff are very polite and professional. Location is very accessible and near to the beach . I would recommend this resort for couples/ family if they are planning to stay in North Goa. "
Resort Terra Paraiso,https://www.tripadvisor.in/Hotel_Review-g306995-d1056079-Reviews-or0-Resort_Terra_Paraiso-Calangute_North_Goa_District_Goa.html,Vani S,"We were a group of 15 and everyone liked the resort so much. Clean rooms n bathrooms. Prompt room service. Very good location. 3 min walk to the beach. Simple n cheerful staff. Nice big n clean pool. Breakfast was so-so. But starters during dinner were good. During summers,\u2026"
Renzo's Inn,https://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-or0-Renzo_s_Inn-Calangute_North_Goa_District_Goa.html,Ashqar,"Good location, Spacious room and good service. Manager Mr. Sunil is very much helpful and always ready to give you service and any suggestion you need. We have enjoyed during our stay. Only negative point is pool. Pool is not that much big but the truth is you are not jump in to\u2026"
Renzo's Inn,https://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-or0-Renzo_s_Inn-Calangute_North_Goa_District_Goa.html,happyOldham,"This is a small hotel in CALANGUTE and the owner has a young manager. He is very helpful if you have any faults I.e lights not working,air conditioners needs setting. The bedding is mainly Indian and is changed regularly ,the room boys are very helpful . An excellent restraint\u2026"
Renzo's Inn,https://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-or0-Renzo_s_Inn-Calangute_North_Goa_District_Goa.html,auspal,"We recently had a two week stay here, the room was spotless with all amenities and Sunil and his staff couldn't do enough for us. The location is very good for the beach and some lovely restaurants. We enjoyed our time at Renzos."
Renzo's Inn,https://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-or0-Renzo_s_Inn-Calangute_North_Goa_District_Goa.html,wb81822,"Very nice rooms, and always clean. Attentive staff, great location. Short walk to the beach and many choices for dinning.Each room has a balcony, nice bathroom and air conditioning.There is an abundance of shopping within a short stroll.Some one is always on duty for the needs\u2026"
Renzo's Inn,https://www.tripadvisor.in/Hotel_Review-g306995-d1585655-Reviews-or0-Renzo_s_Inn-Calangute_North_Goa_District_Goa.html,SANKALP,"Excellent spacious Hotel Room. All The aminities in place. Best part was the location of renzos Inn,  extremely near to all the beaches and the city. hotel staff is well behaved and very helpful. definitely recommended for fun Goa trips. Will Always Visit this hotel."
Sterling Goa Bardez,https://www.tripadvisor.in/Hotel_Review-g1962903-d735815-Reviews-or0-Sterling_Goa_Bardez-Alto_Porvorim_North_Goa_District_Goa.html,Anindita21,This hotel is not at a walkable distance to any beach. The property is decent sized but the rooms have no view. The room where I stayed was small but the bathroom was huge. It looked like a failed architect's job. In room dining did not have much to offer for midnight\u2026
Sterling Goa Bardez,https://www.tripadvisor.in/Hotel_Review-g1962903-d735815-Reviews-or0-Sterling_Goa_Bardez-Alto_Porvorim_North_Goa_District_Goa.html,Iona and Suresh,"Customer service was AWESOME --Shamima,, Rajnish, Anirban, Haqiqat, Suraj, Debojit, Biswajit, Bhiti, Subhi and all other staff at the restaurant provided EXCELLENT SERVICE despite their busy schedule with Smiling Faces.  Food was at its PEAK !!  Rooms were quite decent and the\u2026"
Sterling Goa Bardez,https://www.tripadvisor.in/Hotel_Review-g1962903-d735815-Reviews-or0-Sterling_Goa_Bardez-Alto_Porvorim_North_Goa_District_Goa.html,Sathya A,So many activities in this resort thank u darshan . U made our day and mango mania is superb and very tasty thank u for conducting mango eating contest it was amazing and stay also very very nice our kids enjoyed a lot . Thanks a lot darshan
Sterling Goa Bardez,https://www.tripadvisor.in/Hotel_Review-g1962903-d735815-Reviews-or0-Sterling_Goa_Bardez-Alto_Porvorim_North_Goa_District_Goa.html,Gdhhd,Only one suggestion ; in every resort there will be girl staff and serving welcome drink but here no girl staff  and warmth in resorts other then that activityou wise it's amazing thanks for Darshan for entertaining us wit h various different types of activities . We enjoyed\u2026
Sterling Goa Bardez,https://www.tripadvisor.in/Hotel_Review-g1962903-d735815-Reviews-or0-Sterling_Goa_Bardez-Alto_Porvorim_North_Goa_District_Goa.html,Sanjay,"1st visit to goa , activity is excellent special darshan made our stay very happy . We have participated in all activities , housekeeping lalit was supportive , One suggestion is that to start the vehicle facilities by resort .. Because outside transportation we will not feel\u2026"
Nanu Beach Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1925961-d477598-Reviews-or0-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,Mrinalini,Very nice homely resort.... enjoyed the stay and were very well looked after by the courteous staff.... would definitely recommend for big groups of family n friends  Good location n facilities.... close to a general n public beach
Nanu Beach Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1925961-d477598-Reviews-or0-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,Abhijit Sadekar,We stayed here for 2 days in the pool facing rooms. The property is located very close to the beach. The staff and service is very good. The food in their restaurant is excellent. We'll surely be back. Highly recommended!
Nanu Beach Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1925961-d477598-Reviews-or0-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,pramod91974,"This is our second visit to Nanu Resort, Betalbatim. We always spend couple of days at Nanu brand hotel whenever in Goa.. after all loyal customers. The primary reason is cleanliness, ambience, delicious food and courteous staff.   Beach touch Nanu Resort offers picturesque\u2026"
Nanu Beach Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1925961-d477598-Reviews-or0-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,Bhaavya,"Room: enough for two people, 3rd single Bed is there but not very comfortable to sleep. So if you have kids who would need extra bed to sleep then one room becomes too cramp.  Food: Not much of options, but whatever they have is decent enough.   Breakfast: Not as good as other\u2026"
Nanu Beach Resort & Spa,https://www.tripadvisor.in/Hotel_Review-g1925961-d477598-Reviews-or0-Nanu_Beach_Resort_Spa-Betalbatim_Salcette_South_Goa_District_Goa.html,Jaydeep B,We visited nanu resort and there is a guy prabhakar on the reception at night who is very bad and treat visiters very badly he spoke verh badly. The food is very bad and service is very slow. Very bad place for family.
Casa de Cajino,https://www.tripadvisor.in/Hotel_Review-g306995-d2396935-Reviews-or0-Casa_de_Cajino-Calangute_North_Goa_District_Goa.html,KennethSerrao,Right on Calangute beach. Tucked away behind the Dominos / HDFC bank in a quiet lane. The rooms are fantastic and there is NOTHING ELSE. The rooms have menus from 10s of places nearby ranging from Punjabi dhaba to Goan shacks and all of them deliver to the room until 3 AM in the\u2026
Casa de Cajino,https://www.tripadvisor.in/Hotel_Review-g306995-d2396935-Reviews-or0-Casa_de_Cajino-Calangute_North_Goa_District_Goa.html,Pranay Das,"The hotel offers you value for your money. Right from the clean rooms, helpful staff (special mention to Mr.Vishnu) ,affordability and near to the Calangute beach.About Wifi I am not sure as we were enjoying the tour to full and forget about the internet. I was there in the last\u2026"
Casa de Cajino,https://www.tripadvisor.in/Hotel_Review-g306995-d2396935-Reviews-or0-Casa_de_Cajino-Calangute_North_Goa_District_Goa.html,Piyush Goyal,"I have been to this hotel in the month of March 2017 and second time in the month of March 2018. The staff is very helpful, friendly, cooperative and polite. They will make you feel like home.  Rooms are spacious, clean and tidy.If you are planning a long stay or if your motive\u2026"
Casa de Cajino,https://www.tripadvisor.in/Hotel_Review-g306995-d2396935-Reviews-or0-Casa_de_Cajino-Calangute_North_Goa_District_Goa.html,Egipsy,"Stumbled upon this gem on trip advisor and from the moment you step into the premises, you are so well taken care of! Saby the boy in charge is so kind and accommodating to every little detail and request,  Very good breakfast, good location, right in the heart of calangute but\u2026"
Casa de Cajino,https://www.tripadvisor.in/Hotel_Review-g306995-d2396935-Reviews-or0-Casa_de_Cajino-Calangute_North_Goa_District_Goa.html,bernu123,"The best value in Calangute awesome staff .A big thank you big room with a lot of attention and comfort. We will come back, close to everything .Clean room and Toilet,5 star service with smile.close to beach"
So My Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d645554-Reviews-or0-So_My_Resort-Calangute_North_Goa_District_Goa.html,ANSH_LOVES,We visited from 23rd Dec to 27th Dec'18 and let me tell you we had amazing time in so my resort.  Best part was their beautiful and well maintained swimming pool alongside restaurant We used to spend almost our half day in swimming pool and having beer on swimming pool bench. \u2026
So My Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d645554-Reviews-or0-So_My_Resort-Calangute_North_Goa_District_Goa.html,Ishan rudani,The best experience here in my life goa. Every year we come here for the short vacation and stay in so many hotel but this one is too best. Food is too amazing and and welcoming service is to awesome.
So My Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d645554-Reviews-or0-So_My_Resort-Calangute_North_Goa_District_Goa.html,Nadia,"I don't even know where to start. Everything I expected and so much more! Beautiful clean rooms, fantastic staff, excellent food, service 2nd to none! The Executive Manager Dominic and another member of staff Pankaj, made our stay even more special. Pankaj looked after us\u2026"
So My Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d645554-Reviews-or0-So_My_Resort-Calangute_North_Goa_District_Goa.html,Karan G,Best hotel in calangutte..food is good..staff behaviour is very polite..staff names who are supporting on trip are mr.dominic mr.amul and mr.nimbuz .. rooms are very neat and clean and daily room cleaning provided..
So My Resort,https://www.tripadvisor.in/Hotel_Review-g306995-d645554-Reviews-or0-So_My_Resort-Calangute_North_Goa_District_Goa.html,Amit A,"Very nice rooms , very well maintained , co operative staff , food is good , swimming pool is nice n very good life guard , live kitchen service is mast over all hotel stay at this hotel is satisfactory.\U0001f60a\U0001f60a"
